text,letterColor,corrAns,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,green,right,incong,,,,,7,0,28,3,right,1,0.468010224889,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,green,right,cong,,,,,7,1,29,1,right,1,0.418550165377,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,green,right,cong,,,,,7,2,30,1,right,1,0.299896920453,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
rojo,red,left,cong,,,,,7,3,31,0,left,1,0.434533914304,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,red,left,incong,,,,,8,0,32,2,left,1,0.366811028376,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
rojo,red,left,cong,,,,,8,1,33,0,left,1,0.368518448595,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
rojo,green,right,incong,,,,,8,2,34,3,right,1,0.5999293924,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,red,left,incong,,,,,8,3,35,2,left,1,0.799962619505,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
rojo,red,left,cong,,,,,9,0,36,0,left,1,0.484419129752,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,green,right,cong,,,,,9,1,37,1,right,1,0.466170651402,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,red,left,incong,,,,,9,2,38,2,right,0,0.433870127323,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,green,right,cong,,,,,9,3,39,1,left,0,0.466843500322,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
