text,letterColor,corrAns,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
verde,red,left,incong,,,,,7,1,29,2,left,1,0.367708537855,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
verde,green,right,cong,,,,,7,2,30,1,right,1,0.782744181481,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
rojo,green,right,incong,,,,,7,3,31,3,right,1,1.01686124662,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
verde,green,right,cong,,,,,8,0,32,1,right,1,0.483797631812,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
verde,green,right,cong,,,,,8,1,33,1,right,1,0.399289393001,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
rojo,red,left,cong,,,,,8,2,34,0,left,1,0.418059687971,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
verde,green,right,cong,,,,,8,3,35,1,right,1,0.817262992554,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
rojo,green,right,incong,,,,,9,0,36,3,right,1,0.433237301961,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
verde,green,right,cong,,,,,9,1,37,1,right,1,0.483614127563,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
verde,green,right,cong,,,,,9,2,38,1,right,1,0.400208047002,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
rojo,green,right,incong,,,,,9,3,39,3,right,1,0.400540695653,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
