text,letterColor,corrAns,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
verde,red,left,incong,,,,,7,0,28,2,left,1,0.367796891755,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,green,right,incong,,,,,7,1,29,3,right,1,0.43478840374,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,green,right,cong,,,,,7,2,30,1,right,1,0.349990560481,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,red,left,incong,,,,,7,3,31,2,left,1,0.433704369365,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,red,left,cong,,,,,8,0,32,0,left,1,0.666941293743,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,green,right,incong,,,,,8,1,33,3,right,1,0.399227847337,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,red,left,incong,,,,,8,2,34,2,left,1,0.40042968691,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,red,left,cong,,,,,8,3,35,0,left,1,0.53375647551,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,red,left,incong,,,,,9,0,36,2,left,1,0.417152738971,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,red,left,cong,,,,,9,1,37,0,left,1,0.365972421501,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,red,left,cong,,,,,9,2,38,0,left,1,0.351551479362,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,red,left,incong,,,,,9,3,39,2,left,1,0.367979263264,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
